date,open,high,low,price_close,volume,close
2021-10-15,0.8,0.81,0.8,0.81,23229,0.81
2021-10-14,0.81,0.81,0.8,0.8,14343,0.8
2021-10-13,0.82,0.82,0.8,0.81,11491,0.81
2021-10-12,0.83,0.84,0.81,0.82,13495,0.82
2021-10-11,0.82,0.83,0.82,0.83,6410,0.83
2021-10-08,0.84,0.84,0.82,0.82,3226,0.82
2021-09-30,0.82,0.83,0.81,0.83,2168,0.83
2021-09-29,0.84,0.84,0.82,0.82,13503,0.82
2021-09-28,0.82,0.84,0.82,0.84,24084,0.84
2021-09-27,0.84,0.84,0.81,0.82,12544,0.82
2021-09-24,0.87,0.87,0.84,0.84,6299,0.84
2021-09-23,0.87,0.9,0.86,0.87,10910,0.87
2021-09-22,0.84,0.87,0.82,0.87,13244,0.87
2021-09-17,0.86,0.87,0.83,0.84,17474,0.84
2021-09-16,0.86,0.89,0.86,0.86,9858,0.86
2021-09-15,0.87,0.88,0.86,0.86,19187,0.86
2021-09-14,0.89,0.89,0.87,0.87,18786,0.87
2021-09-13,0.87,0.89,0.86,0.89,17142,0.89
2021-09-10,0.87,0.88,0.86,0.86,31036,0.86
2021-09-09,0.85,0.87,0.84,0.87,23290,0.87
2021-09-08,0.82,0.85,0.82,0.85,22084,0.85
2021-09-07,0.82,0.83,0.82,0.83,12469,0.83
2021-09-06,0.81,0.81,0.8,0.81,20170,0.81
2021-09-03,0.81,0.81,0.8,0.81,25100,0.81
2021-09-02,0.79,0.81,0.79,0.81,18044,0.81
2021-09-01,0.8,0.8,0.79,0.79,20090,0.79
2021-08-31,0.77,0.8,0.77,0.8,13026,0.8
2021-08-30,0.77,0.77,0.77,0.77,15111,0.77
2021-08-27,0.77,0.77,0.76,0.77,9543,0.77
2021-08-26,0.76,0.77,0.76,0.77,44985,0.77
2021-08-25,0.75,0.76,0.75,0.76,25100,0.76
2021-08-24,0.75,0.75,0.75,0.75,25407,0.75
2021-08-23,0.75,0.75,0.75,0.75,3385,0.75
2021-08-20,0.74,0.74,0.73,0.74,14864,0.74
2021-08-19,0.75,0.75,0.74,0.74,12549,0.74
